Artist,Country,Followers (millions)
Ed Sheeran,United Kingdom,36.8
Drake,Canada,29.2
Rihanna,Barbados,28.1
Justin Bieber,Canada,25.5
Eminem,United States,21.8
Ariana Grande,United States,21.0
Bruno Mars,United States,18.1
David Guetta,France,16.6
Beyoncé,United States,16.4
Taylor Swift,United States,16.2
Coldplay,United Kingdom,15.9
Shakira,Colombia,14.3
Maroon 5,United States,14.2
Calvin Harris,United Kingdom,14.0
Imagine Dragons,United States,14.0
Nicki Minaj,Trinidad and Tobago,13.2
The Weeknd,Canada,13.3
Maluma,Colombia,13.3
Shawn Mendes,Canada,13.0
Ozuna,Puerto Rico,12.5
